learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,run_id,run_name,mean_reward,std_reward,training_time_s
0.001,512,64,0.95,0.9,0.3,0.01,9,ppo_run_09,474.542,8.087,503.4
0.0003,1024,64,0.99,0.95,0.1,0.0,5,ppo_run_05,270.589,2.765,535.0
0.0001,2048,128,0.999,0.99,0.2,0.0,8,ppo_run_08,249.029,0.0,526.1
0.0003,512,32,0.9,0.9,0.2,0.0,7,ppo_run_07,-28.485,0.416,609.0
0.0003,2048,64,0.99,0.95,0.2,0.0,1,ppo_run_01,-300.646,0.181,438.6
0.0003,512,64,0.99,0.95,0.2,0.0,2,ppo_run_02,-1058.369,0.0,429.4
0.0002,1024,64,0.97,0.95,0.2,0.005,10,ppo_run_10,-1204.027,2.969,538.2
0.0001,2048,64,0.99,0.95,0.2,0.01,3,ppo_run_03,-1736.92,0.0,449.1
0.0003,1024,32,0.99,0.9,0.3,0.0,4,ppo_run_04,-1892.93,13.686,545.6
0.0003,2048,128,0.99,0.95,0.2,0.05,6,ppo_run_06,-3626.931,0.0,471.0
